Name,City,State,ZIP,"Certified Date",Beds
"Eastland Memorial Hospital",Eastland,Texas,76448,12/2/25,25
"Ascension Seton Smithville",Smithville,Texas,78957,8/11/25,25
"Stephens Memorial Hospital",Breckenridge,Texas,76424,4/8/25,25
"Hemphill County Hospital",Canadian,Texas,79014,8/18/23,25
"Graham Regional Medical Center",Graham,Texas,76450,8/4/23,25
"Baylor County Hospital District dba Seymour Hospital",Seymour,Texas,76380,4/6/23,25
"Pampa Regional Medical Center",Pampa,Texas,79065,1/1/23,25
"Llano Regional Hospital",Llano,Texas,78643,1/1/21,25
"Otto Kaiser Memorial Hospital",Kenedy,Texas,78119,4/1/05,25
"Baylor Scott & White-Taylor",Taylor,Texas,76574,12/20/05,25
"Seton Highland Lakes",Burnet,Texas,78611,7/1/05,25
"Cochran Memorial Hospital",Morton,Texas,79346,12/21/05,18
"UT Health Pittsburg",Pittsburg,Texas,75686,12/14/05,25
"Golden Plains Community Hospital",Borger,Texas,79007,12/1/05,25
"Northeast Medical Center",Bonham,Texas,75418,12/12/05,25
"Seton Edgar B. Davis Hospital",Luling,Texas,78648,12/28/05,25
"Ward Memorial Hospital",Monahans,Texas,79756,12/31/05,25
"Lynn County Healthcare System",Tahoka,Texas,79373,3/1/04,24
"Jackson County Hospital District",Edna,Texas,77957,3/1/05,25
"Clay County Memorial Hospital",Henrietta,Texas,76365,3/1/05,25
"Sabine County Hospital",Hemphill,Texas,75948,12/1/04,25
"Ochiltree General Hospital",Perryton,Texas,79070,10/1/04,25
"Memorial Hospital",Seminole,Texas,79360,10/1/04,25
"Memorial Medical Center","Port Lavaca",Texas,77979,8/1/04,25
"Collingsworth General Hospital",Wellington,Texas,79095,4/1/04,16
"Olney Hamilton Hospital District",Olney,Texas,76374,5/1/04,25
"Hardeman County Memorial Hospital",Quanah,Texas,79252,2/24/04,24
"Goodall Witcher Hospital",Clifton,Texas,76634,9/9/15,25
"HILL REGIONAL HOSPITAL",HILLSBORO,Texas,76645,8/22/19,25
"Knox County Hospital","Knox City",Texas,79529,3/1/19,25
"Crockett Medical Center",Crockett,Texas,75835,2/1/19,25
"Hamilton General Hospital",Hamilton,Texas,76531,9/1/18,25
"Pecos County Memorial Hospital","Fort Stockton",Texas,79735,2/24/17,25
"DIMMIT REGIONAL HOSPITAL","Carrizo Springs",Texas,78834,10/18/17,25
"Frio Regional Hospital",Pearsall,Texas,78061,9/19/17,22
"Uvalde Memorial Hospital",UVALDE,Texas,78801,7/18/16,25
"MEMORIAL HOSPITAL",DUMAS,Texas,79029,8/23/13,25
"Muleshoe Area Medical Center",Muleshoe,Texas,79347,12/31/05,25
"Cogdell Memorial Hospital",Snyder,Texas,79549,4/21/15,25
"Comanche County Medical Center",Comanche,Texas,76442,4/1/12,25
"UT Health Quitman",Quitman,Texas,75783,2/1/11,25
"Mother Frances Hospital",Winnsboro,Texas,75494,7/1/10,25
"Coryell Memorial Healthcare System",Gatesville,Texas,76528,9/15/09,25
"Big Bend Regional Medical Center",Alpine,Texas,79830,7/22/08,25
"Reeves County Hospital District",Pecos,Texas,79772,9/19/07,25
"Lavaca Medical Center",Hallettsville,Texas,77964,12/29/05,25
"McCulloch County Hospital",Brady,Texas,76825,4/1/04,25
"Rankin County Hospital District",Rankin,Texas,79778,3/1/02,15
"Parkview Hospital",Wheeler,Texas,79096,10/1/02,16
"W.J. Mangold Memorial Hospital",Lockney,Texas,79241,4/10/03,25
"Muenster Memorial Hospital",Muenster,Texas,76252,12/1/02,18
"Culberson Hospital","Van Horn",Texas,79855,6/1/03,14
"Throckmorton County Memorial Hospital",Throckmorton,Texas,76483,5/1/03,14
"Shamrock General Hospital",Shamrock,Texas,79079,4/16/03,25
"Haskell Memorial Hospital",Haskell,Texas,79521,6/1/03,25
"Mitchell County Hospital","Colorado City",Texas,79512,10/1/03,25
"Electra Memorial Hospital",Electra,Texas,76360,11/1/03,25
"Yoakum Community Hospital",Yoakum,Texas,77995,1/1/04,25
"Coleman County Medical Center",Coleman,Texas,76834,12/11/03,25
"Plains Memorial Hospital",Dimmit,Texas,79027,4/1/04,25
"Liberty-Dayton Community Hospital",Liberty,Texas,77575,12/30/05,25
"Crane Memorial Hospital",Crane,Texas,79731,3/1/04,25
"Swisher Memorial Hospital",Tulia,Texas,79088,2/1/04,20
"Hansford County Hospital",Spearman,Texas,79081,10/1/03,25
"Winkler County Memorial Hospital",Kermit,Texas,79745,10/26/00,25
"McCamey Hospital",McCamey,Texas,79752,7/27/00,14
"Ballinger Memorial Hospital",Ballinger,Texas,76821,8/1/00,25
"Sweeny Community Hospital",Sweeny,Texas,77480,9/21/00,20
"Rice Medical Center","Eagle Lake",Texas,77434,11/1/00,25
"Yoakum County Hospital","Denver City",Texas,79323,8/1/00,24
"Fisher County Hospital District",Rotan,Texas,79546,11/1/00,14
"Iraan General Hospital District",Iraan,Texas,79744,5/15/00,13
"Schleicher County Medical Center",Eldorado,Texas,76936,3/2/00,14
"Limestone Medical Center",Groesbeck,Texas,76642,1/11/00,20
"Kimble Hospital",Junction,Texas,76849,5/1/00,15
"Burleson St. Joseph Health Center",Caldwell,Texas,77836,2/29/00,25
"Parmer County Community Hospital",Friona,Texas,79035,12/1/99,25
"Reagan Memorial Hospital","Big Lake",Texas,76932,1/1/00,14
"Madison St. Joseph Health Center",Madisonville,Texas,77864,1/10/01,25
"Refugio Memorial Hospital",Refugio,Texas,78377,2/1/02,20
"Grimes St.Joseph Health Center",Navasota,Texas,77868,5/4/01,25
